Participant_ID,visitNumberRecode,Gender,GenderRecode,RaceRecode,Race_Ethnicity,Age,Community,Understand_Spot,AggGain,Refreshed_Pre,Refreshed_Post,Happy_Pre,Happy_Post,NewPerson_Pre,NewPerson_Post,Energized_Pre,Energized_Post,Angry_Pre,Angry_Post,AggPre,AggPost
BS922,3,Female,1,Mixed,Mixed,4,1,1,0,5,5,5,5,5,5,5,5,1,1,32,32
CS0823,0,Female,1,Latino,Latino,4,4,1,9,2,5,4,5,4,5,4,5,1,1,23,32
IR79,3,Female,1,Black,Black,4,1,1,5,1,2,1,1,1,1,1,1,1,1,2,7
JW111,0,male,0,White,White,4,1,5,4,1,2,2,3,1,1,3,3,1,1,9,13
MW0129,3,Male,0,Black,Black,4,3,4,10,3,5,3,4,2,3,3,4,2,1,17,27
AA1202,3,female,1,Black,Black,4,3,4,-12,5,5,5,5,5,5,5,5,1,5,32,20
AD0801,3,Male,0,Black,Black,3,3,3,11,1,3,1,3,1,3,1,3,1,1,5,16
AG1124,3,Male,0,Latino,Latino,3,3,1,13,2,5,2,5,1,5,2,5,1,1,15,28
AH0811,3,FEMALE,1,Black,Black,4,4,3,-2,5,5,5,5,5,3,5,5,1,1,32,30
AL0422,3,Male,0,White,White,3,3,1,29,2,5,1,5,2,5,2,5,2,1,3,32
AMJ056,0,1.00    ??@,1,Mixed,Mixed,2,1,1,9,1,5,5,5,3,5,5,5,1,1,23,32
AR1110,1,male,0,White,White,4,0,2,4,5,5,5,5,5,5,5,5,1,1,28,32
AT0225,2,male,0,Latino,Latino,4,3,3, ,4,5,4,5,4,5, ,1,1,1, ,23
AT1222,3,Male,0,Latino,Latino,4,4,2, ,1,2,1,2,1,2,1,2, ,2, ,8
ATJ0428,2,female,1,Mixed,Mixed,3,1,1,8,3,5,4,5,4,5,4,5,1,1,24,32
AY1107,0,male,0,Other,Other,4,2,1,20,1,5,1,5,1,5,3,5,2,1,12,32
BB1207,3,Male,0,White,White,2,1,1,18,2,5,3,5,2,5,1,5,1,1,14,32
BD0605,2,male,0,Black,Black,4,1,2,0,5,5,5,5,5,5,5,5,1,1,32,32
BL1108,3,male,0,Black,Black,5,3,1, ,3,3,5,5,4,4, ,4,1,1, ,24
BL725,2,1.00    ??@,1,Latino,Latino,4,4,1, ,1,5,1,5,1,5,3,5,2, ,4, 
BSL1129,3,Female,1,White,White,3,3,3,9,1,5,4,5,3,5,5,5,1,1,23,32
BT1222,0,male,0,Black,Black,4,3,1,5,1,5,5,5,5,5,5,5,1,1,27,32
CB0709,3,Male,0,White,White,4,1,4,2,4,4,4,5,4,5,4,5,4,5,16,18
CG0827,3,male,0,Latino,Latino,4,4,1, ,2,5,5,5,3,5, ,5,1,1, ,28
CH0809,2,female,1,Black,Black,3,2,3,23,1,5,4,5,1,5,2,5,1,1,9,32
CL0915,0,male,0,White,White,4,1,2,16,3,5,2,3,1,4,3,5,2,1,11,27
CM0616, ,female,1,Black,Black,3,2,1, , ,5,2,5,2,5,4,5,4,1, ,31
CMS1223,1,Male,0,White,White,3,3,2,19,3,5,3,5,3,5,2,5,3,1,13,32
CP0822,0,FEMALE,1,White,White,4,1,2,0,5,5,5,5,5,5,5,5,1,1,32,32
CP1107,0,Don't Know,2,Other,Other,4,4,1,19,2,3,3,5,1,4,2,4,3,1,7,26
CR0828,3,Female,1,Latino,Latino,3,1,1,13,2,5,5,5,3,5,2,5,1,1,19,32
CS0224,3,FEMALE,1,Black,Black,4,1,3,14,3,5,3,2,3,5,3,5,3,1,12,26
DAT0123,2,Female,1,Black,Black,4,4,1,9,1,5,5,5,4,5,5,5,1,1,23,32
DC1227,3,male,0,Black,Black,2,3,1,7,1,5,3,5,4,5,5,5,1,2,23,30
DD0302,0,MALE,0,Latino,Latino,3,1,1, ,5, ,5, ,5, ,5, ,1,1,32, 
DD0818,3,male,0,Black,Black,4,3,5,-24,5,4,5,1,5,1,5,1,1,1,32,8
DE1115,3,MALE,0,Latino,Latino,3,3,2,0,5,5,5,5,5,5,5,5,1,1,32,32
DG0707,3,Male,0,Black,Black,4,3,1,2,5,5,5,5,5,5,5,5,1,1,30,32
DG1117,3,female,1,Black,Black,4,3,1,1,4,5,5,5,5,5,5,5,1,1,31,32
DH0113,0, , ,Black,Black,3,4,1,6,2,5,5,5,5,5,5,5,1,1,26,32
DH0425,0,male,0,Black,Black,5,1,1,-7,5,5,4,5,5,5,4,5,1,5,27,20
DH0530,3,M,0,Black,Black,4,2,1,1,4,4,4,4,3,4,4,4,1,1,24,25
DJ0409,3,male,0,White,White,4,1,1,-5,4,5,4,5,4,5,4,5,1,5,25,20
DL0915,2,female,1,Black,Black,2,3,1, ,5,5,5,5,5,5,5,5,1, ,32, 
DM0108,3,male,0,Other,Other,3,1,4,0,5,5,5,5,5,5,5,5,1,1,32,32
DM1121,2,female,1,Black,Black,4,4,2,15,3,5,3,5,2,5,4,5,1,1,17,32
DR0818,3,Male,0,Black,Black,5,1,1,33,1,5,2,5,1,5,1,5,3,1,-1,32
DR1114, ,male,0,White,White,4,2,2,1,2,5,5,5,5,1,5,5,1,1,27,28
DW0321,3,Male,0,Other,Other,4,3,1,18,1,5,3,5,1,5,2,5,1,1,14,32
EC0630,3,male,0,Other,Other,4,3,1, ,5,5,1,5,1,5,5,5,3,2,14, 
ED0824,3,Male,0,White,White,4,1,1,3,2,5,5,5,5,5,5,5,1,1,29,32
EM1013,3,Male,0,Other,Other,4,3,3,23,3,5,3,4,1,5,1,5,4,1,3,26
ENJ0609,0,male,0,Latino,Latino,4,2,1,0,5,5,5,5,5,5,5,5,1,1,32,32
ER0512,0,Male,0,Black,Black,2,3,1,3,2,5,5,5,5,5,5,5,1,1,29,32
EW0110,0,Male,0,Black,Black,4,3,5, ,1,3,2,3,1,3,1,2,3,2,-2, 
FK0405,3,male,0,White,White,3,2,2,17,1,5,5,5,2,5,1,5,1,1,14,31
FLW0607,3,Male,0,Black,Black,4,4,1,2,2,5,5,5,5,5,4,3,1,1,26,28
FS0614,3,male,0,White,White,2,1,1, ,1,5,3,5, ,5,4,5,1,1, ,31
G2611,3,.00     ??@,0,Other,Other,3,3,1,-1,5,5,5,5,5,4,5,5,1,1,32,31
GC0107,3,male,0,Latino,Latino,4,2,1,23,1,5,1,5,1,2,2,4,1,1,4,27
GCK0301,3,male,0,Black,Black,4,2,1,0,5,5,5,5,5,5,5,5,1,1,32,32
GE0124,1,male,0,Latino,Latino,3,4,2,9,5,5,5,5,4,5,3,5,1,1,22,31
GP0202,3,male,0,Other,Other,5,3,2,10,1,5,5,5,3,5,3,5,1,1,21,31
GW0328,0,female,1,Other,Other,4,3,1,9,2,5,4,5,4,5,4,5,1,1,23,32
GW716,0,male,0,Native American,Native American,4,3,5,1,2,3,4,3,4,3,4,3,1,1,21,22
HB1105,3,female,1,Black,Black,2,3,1,6,2,5,5,5,5,5,5,5,1,1,26,32
HC0413,0,female,1,Native American,Native American,3,1,1,8,1,5,4,5,5,5,4,5,1,1,22,30
HP0122,3,female,1,Latino,Latino,3,3,1,-1,4,5,5,5,5,3,5,5,1,1,31,30
IH0730,3,male,0,Black,Black,4,3,2,2,5,5,5,5,5,5,5,5,1,1,30,32
IM0418,2,FEMALE,1,Latino,Latino,5,3,1, ,5,5,5,5,5,5,5,5,3, ,30, 
JA0723,3,male,0,Latino,Latino,5,2,2,12,5,5,5,5,5,5,5,5,5,1,20,32
JA1221,3,male,0,Native American,Native American,4,3,1, ,1,5,5,5,4,5,5,5,1,1, ,32
JAZ0626,0,male,0,Other,Other,3,3,2,0,5,5,5,5,5,5,5,5,1,1,32,32
JCR1001,3,male,0,Black,Black,4,3,1, ,4,5,4,5,4,5,4,5, ,1, ,30
JG0221,0,MALE,0,Native American,Native American,4,3,1,9,1,5,4,5,4,5,4,5,1,1,23,32
JG1027,1,male,0,Black,Black,4,4,2,11,3,5,2,4,1,3,3,4,1,1,14,25
JG1231,3,Male,0,Latino,Latino,4,4,1, ,2,5,5,5,5,5, ,5,1,1, ,31
JH1224,3,male,0,Native American,Native American,4,3,1,22,2,5,2,5,4,5,3,5,4,1,10,32
JH512,3,1.00    ??@,1,Other,Other,4,4,1,7,5,5,5,5,1,5,5,5,1,1,25,32
JI,2,male,0,Latino,Latino,4,3,1,4,5,5,5,5,5,5,1,5,1,1,28,32
JL1121,0,female,1,White,White,3,2,1, ,1,5,5,5,2,5,5,5,1,1, ,30
JM0119, ,Female,1,White,White,4,2,2,13,2,4,4,4,2,5,3,5,1,1,16,29
JP1108,3,female,1,White,White,3,1,3,-3,5,4,5,4,2,4,5,4,1,1,27,24
JR0624,3,Female,1,Latino,Latino,5,2,2, ,3,4,4,4,2,5,2,4,2,1, ,26
JR1029,0,MALE,0,Latino,Latino,4,3,1,10,2,5,3,5,3,5,5,5,1,1,22,32
JS0506,3,male,0,Black,Black,4,4,1,-1,5,5,5,5,5,4,5,5,1,1,32,31
JT1018,0,Both,2,Other,Other,3,3,3,4,2,2,3,3,3,4,3,2,3,1,11,15
JW0313,3,female,1,White,White,4,3,3,2,1,5,4,3,4,4,4,5,1,1,22,24
JW0423,0,FEMALE,1,Black,Black,3,1,1,14,2,5,3,5,3,5,3,5,1,1,16,30
JW0522,3,male,0,White,White,3,1,2,2,3,4,3,4,3,3,3,3,3,3,14,16
JW0524,3,male,0,Black,Black,3,4,1,4,4,5,4,5,3,5,4,5,2,3,20,24
JZ0913,0,male,0,Latino,Latino,3,2,1,5,1,5,5,5,4,5,5,5,1,1,23,28
KC0728,0,MALE,0,Black,Black,4,2,1,-1,1,1,1,1,1,1,1,1,2,2,0,-1
KH0924,3,MALE,0,Black,Black,3,1,1,-2,5,5,5,5,5,5,5,5,1,2,32,30
KJ0208,3,M,0,Black,Black,4,2,2,6,1,4,3,3,1,2,2,2,1,1,9,15
KM0512,3,male,0,Black,Black,4,4,1,11,1,5,4,5,3,5,4,5,1,1,21,32
KM0729,3,female,1,Latino,Latino,3,2,1,3,2,5,5,5,5,5,5,5,1,1,29,32
KM1216,0,female,1,Black,Black,3,1,3,13,1,5,3,5,3,5,3,2,1,1,15,28
KM1220,0,male,0,Black,Black,3,3,3,15,3,5,3,4,3,5,1,5,3,2,10,25
KS0106,0,male,0,Latino,Latino,2,1,2,2,3,5,5,5,5,5,5,5,1,1,30,32
KW0810,0,Female,1,Black,Black,2,3,1,3,2,5,5,5,5,5,5,5,1,1,29,32
LB0728,0,MALE,0,White,White,4,1,1,0,5,5,5,5,5,5,5,5,1,1,32,32
LKJ0821,0,male,0,Black,Black,4,1,1,7,4,5,4,5,4,5,4,5,1,1,25,32
LL0430,0,male,0,Black,Black,3,4,1,15,1,5,3,5,2,5,2,4,2,1,9,24
LM0818,3,female,1,White,White,4,3,2,5,3,4,4,4,0,4,4,4,1,1,20,25
LM0821,2,female,1,Latino,Latino,4,2,1,2,5,5,5,5,5,5,5,5,1,1,30,32
LP1223,2,1.00    ??@,1,Latino,Latino,4,2,1,20,2,5,3,5,1,5,5,5,2,1,12,32
MC122,0,male,0,White,White,3,1,3,28,2,5,3,5,1,5,2,5,4,1,1,29
MG719,0,female,1,White,White,4,2,1,20,2,5,2,5,2,5,2,5,1,1,12,32
MH0403,3,Male,0,Black,Black,4,3,2, ,1,4,3, ,3, , ,3, ,4, , 
MH0510,0,Male,0,Black,Black,3,4,1,15,2,5,3,5,1,5,2,5,1,1,16,31
MJ0709,3, , ,Other,Other, ,4,5, ,5,5,5,5, ,3,5,5,1,1, ,30
MJ0915,3,female,1,Black,Black,3,3,1,2,3,5,5,5,5,5,5,5,1,1,30,32
MJF1125,3,male,0,Latino,Latino,0,1,3,0,5,5,4,5,4,5,5,5,1,1,30,30
MK0905,0,male,0,White,White, ,3,1, ,2,5,4,5,5,5,4,5,1,1, ,32
ML0623,3,female,1,Latino,Latino,3,2,1,-4,4,4,4,4,3,3,5,5,1,1,21,17
MN0416,3,male,0,White,White,4,2,2,18,2,5,3,5,1,5,3,5,1,1,14,32
MR1106,3,Male,0,Latino,Latino,3,1,2,3,2,5,5,5,3,3,5,5,1,1,27,30
MRT1120,0,Male,0,White,White,3,2,1,9,1,5,4,5,3,5,5,5,1,1,22,31
MS0313,0,male,0,Latino,Latino,3,1,1,5,3,5,4,5,4,4,5,5,2,1,24,29
MS0521,3,male,0,Latino,Latino,4,1,1,2,5,5,5,5,5,5,5,5,1,1,30,32
MS0927,2,Male,0,White,White,4,3,1,7,2,5,5,5,4,5,5,5,1,1,25,32
MS1018,2,FEMALE,1,White,White,2,3,1,11,1,5,3,5,2,5,1,5,1,1,13,24
MW0629,3,Male,0,Black,Black,3,3,3,4,4,4,3,4,3,4,4,4,1,1,20,24
NG0124,0,female,1,Mixed,Mixed,3,2,1,23,1,4,2,4,1,4,2,5,2,1,3,26
OB1024,3,M,0,Black,Black,4,3,1,-2,5,5,5,5,5,5,5,5,1,1,32,30
OS1213,3,trans,3,Black,Black,4,4,5,9,1,4,3,4,1,4,3,4,2,1,14,23
OTH516,3,Male,0,Mixed,Mixed,3,1,3,14,3,5,3,5,1,3,3,5,2,1,15,29
PA0322,3,FEMALE,1,Black,Black,4,3,1, ,5,5,5,5,5,5,5, ,1,1,32, 
PA1201,3,FEMALE,1,Black,Black,3,3,5, , ,5,4,5,4,5,3,5,3,1, ,32
PC0410,3,Female,1,Other,Other,2,3,2,0,5,5,5,5,5,5,5,5,1,1,32,32
RAD0908,3,MALE,0,White,White,3,1,1,19,2,5,3,5,1,5,4,5,1,1,13,32
RB1030,3,Male,0,Black,Black,3,4,2,14,2,5,2,5,1,4,2,5,2,4,5,19
RD0528,3,female,1,Other,Other,4,2,1,0,5,5,5,5,5,5,5,5,1,1,32,32
RE0603,0,female,1,White,White,3,4,2,14,1,5,3,5,4,5,3,5,1,1,18,32
RH0708,0,FEMALE,1,Black,Black,3,3,5,-2,2,2,2,2,1,1,2,2,1,2,10,8
RL0310,3,Male,0,White,White,3,1,1,18,3,5,2,5,1,5,3,5,2,2,10,28
RLS0310,0,male,0,Black,Black,4,3,3,21,2,5,3,5,1,5,2,5,1,1,11,32
RMC0501,1,male,0,Latino,Latino,3,2,3, ,3,5,5,3,5, ,4,4,1,1,29, 
RR1028,3,female,1,White,White,4,3,1,11,5,5,3,3,4,5,3,3,5,1,15,26
RS1112,0,male,0,Latino,Latino,4,3,3,5,5,5,3,3,3,4,3,5,2,1,18,23
RT0103,3,female,1,Black,Black,3,1,1,21,1,5,1,4,1,1,1,5,1,1,4,25
RT0104,3,male,0,White,White,4,4,1,0,5,5,5,5,5,5,5,5,1,1,32,32
SB0214,2,Female,1,Latino,Latino,3,3,1, ,2, ,5, ,5, ,5, ,1, ,29, 
SC1007,0,female,1,Latino,Latino,4,4,1,6,3,5,3,5,3,4,3,3,5,4,14,20
SLP0815,0,female,1,Mixed,Mixed,4,3,1,6,2,5,4,5,5,5,5,5,2,1,26,32
SM0221,3,1.00    ??@,1,White,White,3,1,3,-6,2,4,5,4,5,3,5,3,1,2,24,18
SM0804,2,MIXED,2,Other,Other,3,1,1, ,2,5,1,3,4,3,4,3,3,1, ,20
SRC122,1,female,1,Other,Other,4,3,5,-13,2,5,5,3,5,1,5,3,1,2,29,16
ST1019,0,Female,1,Other,Other,5,3,2, ,5,5,5,3,5,5,5,5,1,1, ,30
SW0727,3,female,1,Black,Black,3,4,1,0,5,5,5,5,5,5,5,5,1,1,32,32
SW1124,0,Male,0,Black,Black,2,2,2,12,2,5,2,5,2,5,2,5,2,5,8,20
TA0521,0,Male,0,Black,Black, ,4,1,3,2,5,5,5,5,5,5,5,1,1,29,32
TG0215,1,male,0,Black,Black,4,1,2,11,1,5,2,4,3,4,2,4,1,1,15,26
TH0221,3,female,1,Black,Black,4,4,2, ,5,5,5,5,5,5,5, ,1,1,32, 
TM0102,2,male,0,Other,Other,4,4,1,7,1,5,5,5,3,5,5,5,1,1,25,32
TM0616,3,female,1,Latino,Latino,3,4,1,0,5,5,5,5,5,5,5,5,1,1,32,32
TMJ0506,0,female,1,Black,Black,4,1,1,9,2,5,4,5,4,5,4,5,1,1,23,32
TRR0716,0,FEMALE,1,Native American,Native American,4,4,1,8,1,5,5,5,5,5,5,5,1,1,24,32
UG0410,2,male,0,Black,Black,5,4,5, ,1,5,1,4,5,3, ,2,4,2, ,20
VAE0328,3,male,0,White,White,4,1,1,4,2,5,3,3,3,2,2,3,1,1,15,19
VMF0623,3,Female,1,White,White,3,4,1,4,1,5,5,5,5,5,4,5,1,1,27,31
VP0506,2,1.00    ??@,1,Black,Black,4,3,3,6,2,5,5,5,5,5,5,5,1,1,26,32
VR0508,0,male,0,Latino,Latino,2,1,2,8,1,1,1,1,1,1,5,5,5,1,4,12
VS0505,0,male,0,Latino,Latino,3,1,1,13,2,5,3,5,2,5,4,5,1,2,16,29
WB0919,3,male,0,Black,Black,3,4,1,12,1,5,3,3,1,3,1,3,1,1,8,20
WE612,3,.00     ??@,0,Black,Black,4,4,2,-3,4,3,5,5,3,5,5,5,1,1,29,26
WJ0119,3,male,0,Black,Black,4,4,1,3,3,4,3,3,2,1,3,3,1,1,18,21
